ID,Compounds,Microorganism,hydroxamate,catecholate,a-hydroxycarboxylate,carboxylate,phenolate,citrate,other,SMILES,validate smiles,SMARTS,SELFIES
1,"2,3-dihydroxybenzoic acid","Azobacter vinelandii, Azospirillum lipoferum, Bacillus cereus, Bacillus thuringiensis,  Brucella abortus, Klebsiella oxytoca ",0,1,0,1,0,0,0,OC(=O)c1c(O)c(O)ccc1,True,[#8]-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]:[#6]:1,[O][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][Branch1][C][O][=C][C][=C][Ring1][Branch2]
2,"2,3-dihydroxybenzoylglycine",Bacillus subtilis,0,1,0,1,0,0,0,c1ccc(O)c(O)c1C(=O)NCC(O)=O,True,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:1-[#6](=[#8])-[#7]-[#6]-[#6](-[#8])=[#8],[C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][N][C][C][Branch1][C][O][=O]
3,"2,3-dihydroxybenzoylserine","Aerobacter aerogenes, Escherichia ST2, Escherichia coli, Klebsiella oxytoca",0,1,0,1,0,0,0,OC[C@@H](C(O)=O)NC(=O)c1c(O)c(O)ccc1,True,[#8]-[#6]-[#6@@H](-[#6](-[#8])=[#8])-[#7]-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]:[#6]:1,[O][C][C@@H1][Branch1][=Branch1][C][Branch1][C][O][=O][N][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][Branch1][C][O][=C][C][=C][Ring1][Branch2]
4,"2,3-dihydroxybenzoylthreonine",Klebsiella oxytoca,0,1,0,1,0,0,0,O[C@H](C)[C@@H](C(O)=O)NC(=O)c1cccc(O)c1O,True,[#8]-[#6@H](-[#6])-[#6@@H](-[#6](-[#8])=[#8])-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1-[#8],[O][C@H1][Branch1][C][C][C@@H1][Branch1][=Branch1][C][Branch1][C][O][=O][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][O]
5,2-hydroxybenzoic acid,"Azospirillum lipoferum, Burkholderia cepacia",0,0,0,1,1,0,0,OC(=O)c1c(O)cccc1,True,[#8]-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:1,[O][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1]
6,2-N-methylcoprogen,Magnaporthe grisea,3,0,0,0,0,0,0,OCC\C(C)=C\C(=O)N(O)CCC[C@H](N(C)C(=O)C)C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@H](-[#7](-[#6])-[#6](=[#8])-[#6])-[#6](=[#8])-[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@@H]1-[#7]-[#6](=[#8])-[#6@@H](-[#7]-[#6]-1=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8],[O][C][C][\C][Branch1][C][C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@H1][Branch1][#Branch2][N][Branch1][C][C][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][C][C][Branch1][C][\C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][N][C][Ring1][#Branch1][=O][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O]
6_ChEBI,desferricoprogen B,,3,0,0,0,0,0,0,OCC\C(C)=C\C(=O)N(O)CCC[C@H](N)C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@H](-[#7])-[#6](=[#8])-[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@@H]1-[#7]-[#6](=[#8])-[#6@@H](-[#7]-[#6]-1=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8],[O][C][C][\C][Branch1][C][C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][C][C][Branch1][C][\C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][N][C][Ring1][#Branch1][=O][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O]
7,2-N-methylcoprogen B,"Histoplasma capsulatum, Magnaporthe grisea, Pseudallescheria boydii, Scedosporium apiospermum, Scedosporium aurantiacum",3,0,0,0,0,0,0,OCC\C(C)=C\C(=O)N(O)CCC[C@H](NC)C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@H](-[#7]-[#6])-[#6](=[#8])-[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@@H]1-[#7]-[#6](=[#8])-[#6@@H](-[#7]-[#6]-1=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8],[O][C][C][\C][Branch1][C][C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@H1][Branch1][Ring1][N][C][C][=Branch1][C][=O][O][C][C][C][Branch1][C][\C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][N][C][Ring1][#Branch1][=O][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O]
8,"3,4-dihydroxybenzoic acid","Bacillus anthracis, Bacillus cereus, Bacillus thuringiensis, Magnetospirillum magneticum",0,1,0,1,0,0,0,c1cc(O)c(O)cc1C(O)=O,True,[#6]1:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]:1-[#6](-[#8])=[#8],[C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Branch1][C][O][=O]
9,"3,5-dihydroxybenzoic",Azospirillum lipoferum,0,0,0,1,1,0,0,Oc(c1)cc(O)cc1C(O)=O,True,[#8]-[#6]1:[#6]:[#6](:[#6]:[#6](:[#6]:1)-[#8])-[#6](-[#8])=[#8],[O][C][=Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O]
